Common Name,Scientific Name,Count,Reporting Rate
Red-necked Crake,Rallina tricolor,863,0.06%
Lewin's Rail,Lewinia pectoralis,1762,0.12%
Chestnut Rail,Eulabeornis castaneoventris,222,0.02%
Lord Howe Woodhen,Hypotaenidia sylvestris,280,0.02%
Buff-banded Rail,Hypotaenidia philippensis,14088,0.97%
Australian Spotted Crake,Porzana fluminea,7721,0.53%
Baillon's Crake,Zapornia pusilla,3870,0.27%
Spotless Crake,Zapornia tabuensis,5384,0.37%
Pale-vented Bush-hen,Amaurornis moluccana ,1495,0.10%
White-breasted Waterhen,Amaurornis phoenicurus,106,0.01%
White-browed Crake,Amaurornis cinerea,1495,0.10%
Watercock,Gallicrex cinerea,4,0.00%
Purple Swamphen,Porphyrio porphyrio,123352,8.45%
Dusky Moorhen,Gallinula tenebrosa,108073,7.41%
Black-tailed Native-hen,Tribonyx ventralis,17805,1.22%
Tasmanian Native-hen,Tribonyx mortierii,8914,0.61%
Eurasian Coot,Fulica atra,132347,9.07%
Sarus Crane,Antigone antigone,1027,0.07%
Brolga,Antigone rubicunda,13619,0.93%
Bush Stone-curlew,Burhinus grallarius,14148,0.97%
Beach Stone-curlew,Esacus magnirostris,5626,0.39%
Black-faced Sheathbill,Chionis minor,6,0.00%
South Island Pied Oystercatcher,Haematopus finschi,73,0.01%
Australian Pied Oystercatcher,Haematopus longirostris,71773,4.92%
Sooty Oystercatcher,Haematopus fuliginosus,27938,1.91%
Banded Stilt,Cladorhynchus leucocephalus,10001,0.69%
Red-necked Avocet,Recurvirostra novaehollandiae,23925,1.64%
Black-winged Stilt,Himantopus leucocephalus,93000,6.37%
Grey Plover,Pluvialis squatarola,11383,0.78%
Pacific Golden Plover,Pluvialis fulva,21514,1.47%
American Golden Plover,Pluvialis dominica,22,0.00%
Ringed Plover,Charadrius hiaticula,17,0.00%
Semipalmated Plover,Charadrius semipalmatus,52,0.00%
Little Ringed Plover,Charadrius dubius,132,0.01%
Kentish Plover,Charadrius alexandrinus,8,0.00%
Red-capped Plover,Charadrius ruficapillus,66097,4.53%
Double-banded Plover,Charadrius bicinctus,13669,0.94%
Lesser Sand Plover,Charadrius mongolus,11273,0.77%
Greater Sand Plover,Charadrius leschenaultii,11388,0.78%
Oriental Plover,Charadrius veredus,1172,0.08%
Hooded Plover,Thinornis cucullatus,13244,0.91%
Black-fronted Dotterel,Elseyornis melanops,70425,4.83%
Grey-headed Lapwing,Vanellus cinereus,36,0.00%
Banded Lapwing,Vanellus tricolor,8143,0.56%
