Common Name,Scientific Name,Count,Reporting Rate
Coxen's Fig-Parrot,Cyclopsitta coxeni,2,0.00%
Red-bellied Pitta,Pitta erythrogaster,111,0.01%
Fairy Pitta,Pitta nympha,1,0.00%
Hooded Pitta,Pitta sordida,2,0.00%
Noisy Pitta,Pitta versicolor,5970,0.41%
Rainbow Pitta,Pitta iris,696,0.05%
Albert's Lyrebird,Menura alberti,886,0.06%
Superb Lyrebird,Menura novaehollandiae,14872,1.02%
Rufous Scrub-bird,Atrichornis rufescens,852,0.06%
Noisy Scrub-bird,Atrichornis clamosus,333,0.02%
Spotted Catbird,Ailuroedus melanotis,4314,0.30%
Green Catbird,Ailuroedus crassirostris,8304,0.57%
Tooth-billed Bowerbird,Scenopoeetes dentirostris,1015,0.07%
Golden Bowerbird,Amblyornis newtonianus,455,0.03%
Regent Bowerbird,Sericulus chrysocephalus,4899,0.34%
Satin Bowerbird,Ptilonorhynchus violaceus,34325,2.35%
Spotted Bowerbird,Ptilonorhynchus maculatus,4585,0.31%
Western Bowerbird,Ptilonorhynchus guttatus,3165,0.22%
Great Bowerbird,Ptilonorhynchus nuchalis,18816,1.29%
Fawn-breasted Bowerbird,Ptilonorhynchus cerviniventris,246,0.02%
White-throated Treecreeper,Cormobates leucophaea,100306,6.87%
Red-browed Treecreeper,Climacteris erythrops,3531,0.24%
White-browed Treecreeper,Climacteris affinis,1630,0.11%
Rufous Treecreeper,Climacteris rufus,4111,0.28%
Brown Treecreeper,Climacteris picumnus,46580,3.19%
Black-tailed Treecreeper,Climacteris melanurus,1814,0.12%
Purple-crowned Fairy-wren,Malurus coronatus,808,0.06%
Red-winged Fairy-wren,Malurus elegans,5141,0.35%
Blue-breasted Fairy-wren,Malurus pulcherrimus,2445,0.17%
Lovely Fairy-wren,Malurus amabilis,1653,0.11%
Variegated Fairy-wren,Malurus lamberti,52687,3.61%
Superb Fairy-wren,Malurus cyaneus,276689,18.96%
Splendid Fairy-wren,Malurus splendens,28508,1.95%
Red-backed Fairy-wren,Malurus melanocephalus,34471,2.36%
White-winged Fairy-wren,Malurus leucopterus,20144,1.38%
Southern Emu-wren,Stipiturus malachurus,5356,0.37%
Mallee Emu-wren,Stipiturus mallee,315,0.02%
Rufous-crowned Emu-wren,Stipiturus ruficeps,524,0.04%
Grey Grasswren,Amytornis barbatus,102,0.01%
White-throated Grasswren,Amytornis woodwardi,36,0.00%
Carpentarian Grasswren,Amytornis dorotheae,175,0.01%
Striated Grasswren,Amytornis striatus,1206,0.08%
Short-tailed Grasswren,Amytornis merrotsyi,92,0.01%
Black Grasswren,Amytornis housei,91,0.01%
Eyrean Grasswren,Amytornis goyderi,380,0.03%
Kalkadoon Grasswren,Amytornis ballarae,206,0.01%
Dusky Grasswren,Amytornis purnelli,528,0.04%
Western Grasswren,Amytornis textilis,237,0.02%
Thick-billed Grasswren,Amytornis modestus,255,0.02%
Eastern Bristlebird,Dasyornis brachypterus,802,0.05%
Western Bristlebird,Dasyornis longirostris,244,0.02%
Rufous Bristlebird,Dasyornis broadbenti,1763,0.12%
Black Honeyeater,Sugomel niger,3615,0.25%
Dusky Honeyeater,Myzomela obscura,14653,1.00%
Red-headed Honeyeater,Myzomela erythrocephala,2013,0.14%
Scarlet Honeyeater,Myzomela sanguinolenta,31051,2.13%
Painted Honeyeater,Grantiella picta,1584,0.11%
Striped Honeyeater,Plectorhyncha lanceolata,26579,1.82%
Macleay's Honeyeater,Xanthotis macleayanus,5289,0.36%
Tawny-breasted Honeyeater,Xanthotis flaviventer,1031,0.07%
Helmeted Friarbird,Philemon buceroides,13079,0.90%
Silver-crowned Friarbird,Philemon argenticeps,5294,0.36%
Noisy Friarbird,Philemon corniculatus,73682,5.05%
Little Friarbird,Philemon citreogularis,43827,3.00%
Banded Honeyeater,Cissomela pectoralis,2935,0.20%
Brown Honeyeater,Lichmera indistincta,131854,9.04%
White-streaked Honeyeater,Trichodere cockerelli,595,0.04%
Crescent Honeyeater,Phylidonyris pyrrhopterus,24106,1.65%
New Holland Honeyeater,Phylidonyris novaehollandiae,154609,10.60%
White-cheeked Honeyeater,Phylidonyris niger,25807,1.77%
White-eared Honeyeater,Nesoptilotis leucotis,51222,3.51%
Yellow-throated Honeyeater,Nesoptilotis flavicollis,17070,1.17%
Blue-faced Honeyeater,Entomyzon cyanotis,55534,3.81%
Black-chinned Honeyeater,Melithreptus gularis,10450,0.72%
Strong-billed Honeyeater,Melithreptus validirostris,3349,0.23%
Brown-headed Honeyeater,Melithreptus brevirostris,39700,2.72%
White-throated Honeyeater,Melithreptus albogularis,33132,2.27%
White-naped Honeyeater,Melithreptus lunatus,47906,3.28%
Black-headed Honeyeater,Melithreptus affinis,7005,0.48%
Tawny-crowned Honeyeater,Glyciphila melanops,7170,0.49%
Green-backed Honeyeater,Glycichaera fallax,158,0.01%
Eastern Spinebill,Acanthorhynchus tenuirostris,92717,6.35%
Western Spinebill,Acanthorhynchus superciliosus,9854,0.68%
Pied Honeyeater,Certhionyx variegatus,4353,0.30%
Rufous-banded Honeyeater,Conopophila albogularis,3117,0.21%
Rufous-throated Honeyeater,Conopophila rufogularis,7992,0.55%
Grey Honeyeater,Conopophila whitei,203,0.01%
Brown-backed Honeyeater,Ramsayornis modestus,5237,0.36%
Bar-breasted Honeyeater,Ramsayornis fasciatus,2287,0.16%
Gibberbird,Ashbyia lovensis,406,0.03%
Crimson Chat,Epthianura tricolor,9296,0.64%
Orange Chat,Epthianura aurifrons,3334,0.23%
Yellow Chat,Epthianura crocea,457,0.03%
White-fronted Chat,Epthianura albifrons,29051,1.99%
White-gaped Honeyeater,Stomiopera unicolor,13356,0.92%
Yellow Honeyeater,Stomiopera flava,16863,1.16%
Lewin's Honeyeater,Meliphaga lewinii,84290,5.78%
Yellow-spotted Honeyeater,Meliphaga notata,11543,0.79%
Graceful Honeyeater,Microptilotis gracilis,7253,0.50%
White-lined Honeyeater,Microptilotis albilineata,330,0.02%
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,72537,4.97%
Western Wattlebird,Anthochaera lunulata,7835,0.54%
Little Wattlebird,Anthochaera chrysoptera,78827,5.40%
Regent Honeyeater,Anthochaera phrygia,1340,0.09%
Red Wattlebird,Anthochaera carunculata,282975,19.39%
Yellow Wattlebird,Anthochaera paradoxa,10773,0.74%
Bridled Honeyeater,Bolemoreus frenatus,2704,0.19%
Eungella Honeyeater,Bolemoreus hindwoodi,215,0.01%
Singing Honeyeater,Gavicalis virescens,123224,8.45%
Varied Honeyeater,Gavicalis versicolor,2025,0.14%
Mangrove Honeyeater,Gavicalis fasciogularis,3360,0.23%
Grey-headed Honeyeater,Ptilotula keartlandi,5821,0.40%
Yellow-plumed Honeyeater,Ptilotula ornata,20099,1.38%
Grey-fronted Honeyeater,Ptilotula plumula,5029,0.34%
Fuscous Honeyeater,Ptilotula fusca,19870,1.36%
Yellow-tinted Honeyeater,Ptilotula flavescens,6276,0.43%
White-plumed Honeyeater,Ptilotula penicillata,152526,10.45%
White-fronted Honeyeater,Purnella albifrons,15341,1.05%
Yellow-faced Honeyeater,Caligavis chrysops,117749,8.07%
Yellow-tufted Honeyeater,Lichenostomus melanops,17981,1.23%
Purple-gaped Honeyeater,Lichenostomus cratitius,2681,0.18%
Bell Miner,Manorina melanophrys,22384,1.53%
Noisy Miner,Manorina melanocephala,201918,13.84%
Black-eared Miner,Manorina melanotis,734,0.05%
Yellow-throated Miner,Manorina flavigula,54378,3.73%
Spotted Pardalote,Pardalotus punctatus,134901,9.25%
Forty-spotted Pardalote,Pardalotus quadragintus,435,0.03%
Red-browed Pardalote,Pardalotus rubricatus,6437,0.44%
Striated Pardalote,Pardalotus striatus,206755,14.17%
Fernwren,Oreoscopus gutturalis,738,0.05%
Brown Gerygone,Gerygone mouki,24065,1.65%
Fairy Gerygone,Gerygone palpebrosa,6176,0.42%
Green-backed Gerygone,Gerygone chloronota,1134,0.08%
White-throated Gerygone,Gerygone olivacea,31752,2.18%
Large-billed Gerygone,Gerygone magnirostris,4742,0.33%
Dusky Gerygone,Gerygone tenebrosa,528,0.04%
Norfolk Island Gerygone,Gerygone modesta,103,0.01%
Mangrove Gerygone,Gerygone levigaster,7708,0.53%
Western Gerygone,Gerygone fusca,34197,2.34%
Weebill,Smicrornis brevirostris,108971,7.47%
Pilotbird,Pycnoptilus floccosus,3121,0.21%
Redthroat,Pyrrholaemus brunneus,4528,0.31%
Speckled Warbler,Pyrrholaemus sagittatus,12190,0.84%
Chestnut-rumped Heathwren,Calamanthus pyrrhopygius,1653,0.11%
Shy Heathwren,Calamanthus cautus,3086,0.21%
Striated Fieldwren,Calamanthus fuliginosus,5658,0.39%
Rufous Fieldwren,Calamanthus campestris,1772,0.12%
Rockwarbler,Origma solitaria,1917,0.13%
Yellow-throated Scrubwren,Sericornis citreogularis,7435,0.51%
Atherton Scrubwren,Sericornis keri,765,0.05%
White-browed Scrubwren,Sericornis frontalis,132353,9.07%
Tasmanian Scrubwren,Sericornis humilis,7139,0.49%
Large-billed Scrubwren,Sericornis magnirostra,13700,0.94%
Tropical Scrubwren,Sericornis beccarii,792,0.05%
Scrubtit,Acanthornis magna,936,0.06%
Southern Whiteface,Aphelocephala leucopsis,17331,1.19%
Chestnut-breasted Whiteface,Aphelocephala pectoralis,184,0.01%
Banded Whiteface,Aphelocephala nigricincta,1041,0.07%
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,109520,7.51%
Yellow Thornbill,Acanthiza nana,51339,3.52%
Striated Thornbill,Acanthiza lineata,53536,3.67%
Inland Thornbill,Acanthiza apicalis,31495,2.16%
Tasmanian Thornbill,Acanthiza ewingii,7188,0.49%
Brown Thornbill,Acanthiza pusilla,152083,10.42%
Mountain Thornbill,Acanthiza katherina,1022,0.07%
Slaty-backed Thornbill,Acanthiza robustirostris,1565,0.11%
Slender-billed Thornbill,Acanthiza iredalei,660,0.05%
Chestnut-rumped Thornbill,Acanthiza uropygialis,24837,1.70%
Buff-rumped Thornbill,Acanthiza reguloides,28547,1.96%
Western Thornbill,Acanthiza inornata,4521,0.31%
Australian Logrunner,Orthonyx temminckii,3887,0.27%
Chowchilla,Orthonyx spaldingii,1442,0.10%
Grey-crowned Babbler,Pomatostomus temporalis,32306,2.21%
Hall's Babbler,Pomatostomus halli,618,0.04%
White-browed Babbler,Pomatostomus superciliosus,37034,2.54%
Chestnut-crowned Babbler,Pomatostomus ruficeps,4490,0.31%
Varied Sittella,Daphoenositta chrysoptera,24102,1.65%
Ground Cuckoo-shrike,Coracina maxima,2436,0.17%
Barred Cuckoo-shrike,Coracina lineata,1966,0.13%
Black-faced Cuckoo-shrike,Coracina novaehollandiae,207995,14.26%
White-bellied Cuckoo-shrike,Coracina papuensis,30393,2.08%
Cicadabird,Edolisoma tenuirostris,13300,0.91%
White-winged Triller,Lalage tricolor,29951,2.05%
Varied Triller,Lalage leucomela,23555,1.61%
Spotted Quail-thrush,Cinclosoma punctatum,2457,0.17%
Chestnut Quail-thrush,Cinclosoma castanotus,3392,0.23%
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,740,0.05%
Cinnamon Quail-thrush,Cinclosoma cinnamomeum,1552,0.11%
Olive Whistler,Pachycephala olivacea,5379,0.37%
Red-lored Whistler,Pachycephala rufogularis,360,0.02%
Gilbert's Whistler,Pachycephala inornata,4053,0.28%
Grey Whistler,Pachycephala simplex,4101,0.28%
Rufous Whistler,Pachycephala rufiventris,148090,10.15%
White-breasted Whistler,Pachycephala lanioides,628,0.04%
Golden Whistler,Pachycephala pectoralis,119724,8.21%
Mangrove Golden Whistler,Pachycephala melanura,623,0.04%
Little Shrike-thrush,Colluricincla megarhyncha,19711,1.35%
Bower's Shrike-thrush,Colluricincla boweri,1439,0.10%
Grey Shrike-thrush,Colluricincla harmonica,233158,15.98%
Sandstone Shrike-thrush,Colluricincla woodwardi,778,0.05%
Crested Shrike-tit,Falcunculus frontatus,19320,1.32%
Crested Bellbird,Oreoica gutturalis,28925,1.98%
Eastern Whipbird,Psophodes olivaceus,74027,5.07%
Western Whipbird,Psophodes nigrogularis,845,0.06%
Chirruping Wedgebill,Psophodes cristatus,3046,0.21%
Chiming Wedgebill,Psophodes occidentalis,2838,0.19%
Australasian Figbird,Sphecotheres vieilloti,63240,4.33%
Olive-backed Oriole,Oriolus sagittatus,54694,3.75%
Yellow Oriole,Oriolus flavocinctus,12492,0.86%
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,2751,0.19%
Black Currawong,Strepera fuliginosa,5315,0.36%
Pied Currawong,Strepera graculina,152305,10.44%
Grey Currawong,Strepera versicolor,52830,3.62%
Black Butcherbird,Melloria quoyi,8207,0.56%
Australian Magpie,Gymnorhina tibicen,494922,33.92%
Pied Butcherbird,Cracticus nigrogularis,109903,7.53%
Grey Butcherbird,Cracticus torquatus,180432,12.37%
Black-backed Butcherbird,Cracticus mentalis,1220,0.08%
Masked Woodswallow,Artamus personatus,12971,0.89%
White-browed Woodswallow,Artamus superciliosus,15193,1.04%
Dusky Woodswallow,Artamus cyanopterus,46410,3.18%
Black-faced Woodswallow,Artamus cinereus,35418,2.43%
Little Woodswallow,Artamus minor,5593,0.38%
White-breasted Woodswallow,Artamus leucorynchus,36013,2.47%
Spangled Drongo,Dicrurus bracteatus,43697,2.99%
Northern Fantail,Rhipidura rufiventris,6025,0.41%
Willie Wagtail,Rhipidura leucophrys,378383,25.93%
Rufous Fantail,Rhipidura rufifrons,22410,1.54%
Mangrove Grey Fantail,Rhipidura phasiana,1139,0.08%
Grey Fantail,Rhipidura fuliginosa,266913,18.29%
Brown Shrike,Lanius cristatus,1,0.00%
Torresian Crow,Corvus orru,107919,7.40%
Little Crow,Corvus bennetti,14555,1.00%
Little Raven,Corvus mellori,123111,8.44%
Forest Raven,Corvus tasmanicus,29496,2.02%
Australian Raven,Corvus coronoides,231050,15.84%
House Crow,Corvus splendens,11,0.00%
Leaden Flycatcher,Myiagra rubecula,32713,2.24%
Broad-billed Flycatcher,Myiagra ruficollis,1246,0.09%
Satin Flycatcher,Myiagra cyanoleuca,6266,0.43%
Shining Flycatcher,Myiagra alecto,4763,0.33%
Restless Flycatcher,Myiagra inquieta,41697,2.86%
Frilled Monarch,Arses telescopthalmus,441,0.03%
Pied Monarch,Arses kaupi,1589,0.11%
Magpie-lark,Grallina cyanoleuca,383354,26.27%
Spectacled Monarch,Symposiarchus trivirgatus,11945,0.82%
White-eared Monarch,Carterornis leucotis,1913,0.13%
Island Monarch,Monarcha cinerascens,3,0.00%
Black-winged Monarch,Monarcha frater,220,0.02%
Black-faced Monarch,Monarcha melanopsis,13540,0.93%
White-winged Chough,Corcorax melanorhamphos,53763,3.68%
Apostlebird,Struthidea cinerea,22894,1.57%
Trumpet Manucode,Phonygammus keraudrenii,579,0.04%
Paradise Riflebird,Lophorina paradiseus,1861,0.13%
Victoria's Riflebird,Lophorina victoriae,2910,0.20%
Magnificent Riflebird,Lophorina magnificus,1000,0.07%
Rose Robin,Petroica rosea,12214,0.84%
Pink Robin,Petroica rodinogaster,3336,0.23%
Flame Robin,Petroica phoenicea,18362,1.26%
Scarlet Robin,Petroica multicolor,36542,2.50%
Red-capped Robin,Petroica goodenovii,37408,2.56%
Yellow-legged Flycatcher,Kempiella griseoceps,141,0.01%
Lemon-bellied Flycatcher,Microeca flavigaster,7411,0.51%
Jacky Winter,Microeca fascinans,41996,2.88%
Northern Scrub-robin,Drymodes superciliaris,192,0.01%
Southern Scrub-robin,Drymodes brunneopygia,4791,0.33%
White-browed Robin,Poecilodryas superciliosa,1876,0.13%
Buff-sided Robin,Poecilodryas cerviniventris,811,0.06%
Grey-headed Robin,Heteromyias albispecularis,3383,0.23%
Eastern Yellow Robin,Eopsaltria australis,105629,7.24%
Western Yellow Robin,Eopsaltria griseogularis,3680,0.25%
White-breasted Robin,Quoyornis georgianus,3985,0.27%
White-faced Robin,Tregellasia leucops,363,0.02%
Pale-yellow Robin,Tregellasia capito,6116,0.42%
Hooded Robin,Melanodryas cucullata,16397,1.12%
Dusky Robin,Melanodryas vittata,5034,0.35%
Mangrove Robin,Peneothello pulverulenta,835,0.06%
Mistletoebird,Dicaeum hirundinaceum,89663,6.15%
Red-capped Flowerpecker,Dicaeum geelvinkianum,20,0.00%
Olive-backed Sunbird,Cinnyris jugularis,18737,1.28%
Nutmeg Mannikin,Lonchura punctulata,5360,0.37%
Yellow-rumped Mannikin,Lonchura flaviprymna,203,0.01%
Chestnut-breasted Mannikin,Lonchura castaneothorax,12531,0.86%
Java Sparrow,Lonchura oryzivora,32,0.00%
Pictorella Mannikin,Heteromunia pectoralis,758,0.05%
Beautiful Firetail,Stagonopleura bella,3770,0.26%
Red-eared Firetail,Stagonopleura oculata,2626,0.18%
Diamond Firetail,Stagonopleura guttata,12813,0.88%
Painted Finch,Emblema pictum,2198,0.15%
Red-browed Finch,Neochmia temporalis,94377,6.47%
Crimson Finch,Neochmia phaeton,7201,0.49%
Star Finch,Neochmia ruficauda,1346,0.09%
Plum-headed Finch,Neochmia modesta,2173,0.15%
Masked Finch,Poephila personata,2388,0.16%
Long-tailed Finch,Poephila acuticauda,4952,0.34%
Black-throated Finch,Poephila cincta,1034,0.07%
Zebra Finch,Taeniopygia guttata,47198,3.23%
Double-barred Finch,Taeniopygia bichenovii,40669,2.79%
Blue-faced Parrot-Finch,Erythrura trichroa,255,0.02%
Gouldian Finch,Chloebia gouldiae,721,0.05%
House Sparrow,Passer domesticus,123119,8.44%
Eurasian Tree Sparrow,Passer montanus,2408,0.17%
Forest Wagtail,Dendronanthus indicus,27,0.00%
Pechora Pipit,Anthus gustavi,3,0.00%
Red-throated Pipit,Anthus cervinus,4,0.00%
Australasian Pipit,Anthus novaeseelandiae,62581,4.29%
Yellow Wagtail,Motacilla flava,548,0.04%
Grey Wagtail,Motacilla cinerea,45,0.00%
Citrine Wagtail,Motacilla citreola,29,0.00%
White Wagtail,Motacilla alba,41,0.00%
Common Greenfinch,Chloris chloris,12924,0.89%
Common Redpoll,Acanthis flammea,4,0.00%
European Goldfinch,Carduelis carduelis,51872,3.56%
Horsfield's Bushlark,Mirafra javanica,6870,0.47%
Eurasian Skylark,Alauda arvensis,23687,1.62%
Zitting Cisticola,Cisticola juncidis,399,0.03%
Golden-headed Cisticola,Cisticola exilis,46959,3.22%
Middendorff's Grasshopper-Warbler,Locustella ochotensis,1,0.00%
Brown Songlark,Cincloramphus cruralis,12532,0.86%
Rufous Songlark,Cincloramphus mathewsi,25420,1.74%
Tawny Grassbird,Cincloramphus timoriensis,13246,0.91%
Little Grassbird,Poodytes gramineus,34798,2.39%
Spinifexbird,Poodytes carteri,1514,0.10%
Great Reed-Warbler,Acrocephalus arundinaceus,7,0.00%
Australian Reed-Warbler,Acrocephalus australis,53801,3.69%
White-backed Swallow,Cheramoeca leucosterna,6777,0.46%
Asian House Martin,Delichon dasypus,7,0.00%
Fairy Martin,Petrochelidon ariel,43143,2.96%
Tree Martin,Petrochelidon nigricans,83783,5.74%
Red-rumped Swallow,Cecropis daurica,61,0.00%
Welcome Swallow,Hirundo neoxena,305575,20.94%
Barn Swallow,Hirundo rustica,361,0.02%
Red-whiskered Bulbul,Pycnonotus jocosus,12021,0.82%
Arctic Warbler,Sericercus borealis,7,0.00%
Christmas Island White-eye,Zosterops natalis,150,0.01%
Ashy-bellied White-eye,Zosterops citrinella,73,0.01%
Yellow White-eye,Zosterops luteus,2825,0.19%
Silvereye,Zosterops lateralis,193157,13.24%
Slender-billed White-eye,Zosterops tenuirostris,55,0.00%
Common Starling,Sturnus vulgaris,173126,11.87%
Rosy Starling,Pastor roseus,1,0.00%
Purple-backed Starling,Agropsar sturninus,2,0.00%
Chestnut-cheeked Starling,Agropsar philippensis,1,0.00%
Common Myna,Acridotheres tristis,123199,8.44%
Metallic Starling,Aplonis metallica,5489,0.38%
Singing Starling,Aplonis cantoroides,29,0.00%
Asian Brown Flycatcher,Muscicapa dauurica,3,0.00%
Blue-and-White Flycatcher,Cyanoptila cyanomelana,1,0.00%
Narcissus Flycatcher,Ficedula narcissina,1,0.00%
Blue Rock-Thrush,Monticola solitarius,4,0.00%
Bassian Thrush,Zoothera lunulata,7457,0.51%
Russet-tailed Thrush,Zoothera heinei,1511,0.10%
Song Thrush,Turdus philomelos,1875,0.13%
Common Blackbird,Turdus merula,130149,8.92%
Island Thrush,Turdus poliocephalus,136,0.01%
Greylag Goose,Anser anser,506,0.03%
Muscovy Duck,Cairina moschata,1465,0.10%
Ring-necked Parakeet,Psittacula krameri,61,0.00%
Teal spp,,296,0.02%
Black Duck-Mallard hybrid,,4073,0.28%
Corella spp,,5713,0.39%
Cox's Sandpiper,,2,0.00%
Crow & Raven spp,,21392,1.47%
Snipe spp,,133,0.01%
Tattler spp,,400,0.03%
White-tailed Black-Cockatoo spp,,12898,0.88%
Wandering Albatross spp,,40,0.00%
Royal Albatross spp,,4,0.00%
Black-browed Albatross spp,,150,0.01%
Shy Albatross spp,,52,0.00%
Domestic Goose,,3808,0.26%
Domestic Duck,,6706,0.46%
Fairy-wren spp,,505,0.03%
Large wader spp,,660,0.05%
Medium wader spp,,446,0.03%
Small wader spp,,214,0.01%
